tag,status,best_pt,run_output_root,best_precision,best_precision_epoch,best_recall,best_recall_epoch,best_map50,best_map50_epoch,best_map50_95,best_map50_95_epoch
deg10_sc0p2_mo0_hsvs0p7,ok,models/grid_search_v11_aug/best_deg10_sc0p2_mo0_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg10_sc0p2_mo0_hsvs0p7,0.73473,5,0.38842,148,0.45895,200,0.26688,192
deg5_sc0p2_mo0p5_hsvs0p3,ok,models/grid_search_v11_aug/best_deg5_sc0p2_mo0p5_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg5_sc0p2_mo0p5_hsvs0p3,0.55953,136,0.39871,184,0.46212,192,0.26668,188
deg0_sc0p3_mo0_hsvs0p3,ok,models/grid_search_v11_aug/best_deg0_sc0p3_mo0_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg0_sc0p3_mo0_hsvs0p3,0.55255,180,0.40429,132,0.46531,120,0.26348,176
deg0_sc0p3_mo0_hsvs0p7,ok,models/grid_search_v11_aug/best_deg0_sc0p3_mo0_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg0_sc0p3_mo0_hsvs0p7,0.53241,180,0.41697,49,0.45125,120,0.26087,200
deg5_sc0p3_mo1_hsvs0p5,ok,models/grid_search_v11_aug/best_deg5_sc0p3_mo1_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg5_sc0p3_mo1_hsvs0p5,0.64069,54,0.39919,54,0.49611,54,0.25877,188
deg10_sc0p3_mo0_hsvs0p3,ok,models/grid_search_v11_aug/best_deg10_sc0p3_mo0_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg10_sc0p3_mo0_hsvs0p3,0.66967,112,0.54836,116,0.57100,112,0.25875,152
deg10_sc0p3_mo0_hsvs0p5,ok,models/grid_search_v11_aug/best_deg10_sc0p3_mo0_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg10_sc0p3_mo0_hsvs0p5,0.80038,124,0.45561,116,0.56477,124,0.25875,112
deg5_sc0p3_mo1_hsvs0p7,ok,models/grid_search_v11_aug/best_deg5_sc0p3_mo1_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg5_sc0p3_mo1_hsvs0p7,0.80294,7,0.39145,180,0.45098,188,0.25612,164
deg10_sc0p4_mo1_hsvs0p5,ok,models/grid_search_v11_aug/best_deg10_sc0p4_mo1_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg10_sc0p4_mo1_hsvs0p5,0.81220,78,0.47959,88,0.56204,78,0.25599,88
deg10_sc0p4_mo0p5_hsvs0p7,ok,models/grid_search_v11_aug/best_deg10_sc0p4_mo0p5_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg10_sc0p4_mo0p5_hsvs0p7,0.85914,124,0.44750,116,0.60858,124,0.25369,75
deg5_sc0p4_mo1_hsvs0p7,ok,models/grid_search_v11_aug/best_deg5_sc0p4_mo1_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg5_sc0p4_mo1_hsvs0p7,0.81902,100,0.39844,100,0.56264,100,0.25337,100
deg10_sc0p2_mo0_hsvs0p3,ok,models/grid_search_v11_aug/best_deg10_sc0p2_mo0_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg10_sc0p2_mo0_hsvs0p3,0.72939,108,0.43845,112,0.54032,108,0.25216,168
deg5_sc0p3_mo0_hsvs0p7,ok,models/grid_search_v11_aug/best_deg5_sc0p3_mo0_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg5_sc0p3_mo0_hsvs0p7,0.68540,69,0.52627,78,0.58441,78,0.25096,81
deg5_sc0p3_mo0_hsvs0p3,ok,models/grid_search_v11_aug/best_deg5_sc0p3_mo0_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg5_sc0p3_mo0_hsvs0p3,0.80343,45,0.42792,39,0.55669,45,0.24451,45
deg5_sc0p3_mo0p5_hsvs0p7,ok,models/grid_search_v11_aug/best_deg5_sc0p3_mo0p5_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg5_sc0p3_mo0p5_hsvs0p7,0.78350,63,0.49697,66,0.54522,63,0.24089,66
deg5_sc0p2_mo0_hsvs0p7,ok,models/grid_search_v11_aug/best_deg5_sc0p2_mo0_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg5_sc0p2_mo0_hsvs0p7,0.54079,75,0.39375,120,0.45082,120,0.23995,78
deg10_sc0p2_mo0_hsvs0p5,ok,models/grid_search_v11_aug/best_deg10_sc0p2_mo0_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg10_sc0p2_mo0_hsvs0p5,0.70998,47,0.39821,47,0.51933,47,0.23882,47
